Position_ph_texte	Position_ph_parag	Nb_mot_titre	Pos_ph_texte	Pos_ph_parag	Nb_exp_bonus	Nb_exp_stigma	Mot_anapho	tf-idf	tf	label
1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.15232271365316544	0.060291060291060294	0.0
1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09810439170808671	0.035343035343035345	0.0
3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.18609322978353737	0.058212058212058215	0.0
3.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.1381288679082144	0.04573804573804574	0.0
3.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.4065402879706329	0.1496881496881497	1.0
2.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.6211155806988392	0.28861788617886197	1.0
3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.22250075915654596	0.1300813008130081	1.0
3.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.2717679506676362	0.19715447154471552	1.0
1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.11254882237467773	0.0670731707317073	0.0
1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.06506549063606533	0.050813008130081286	0.0
1.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	0.09216372612387144	0.0630081300813008	0.0
2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12326910549512543	0.04471544715447153	0.0
3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.07853666915539273	0.030487804878048783	0.0
3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20652492328554345	0.10772357723577233	0.0
3.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1475216090055275	0.08536585365853659	0.0
1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.13286714255867285	0.07317073170731704	0.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11725977849429724	0.07317073170731707	0.0
3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.09445355373221412	0.07113821138211382	0.0
1.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.33785556243164144	0.1991869918699187	1.0
2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.21721073947068342	0.13008130081300812	1.0
2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21791798847760022	0.07723577235772354	1.0
2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07106945539224242	0.0508130081300813	0.0
1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.1097311509089869	0.06707317073170732	0.0
2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.1745668451199439	0.06300813008130081	0.0
1.0	3.0	1.0	0.0	0.0	1.0	1.0	0.0	0.08150262686704332	0.05691056910569103	0.0
3.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.09710797227016929	0.04065040650406504	0.0
3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.29799710677858277	0.1971544715447155	1.0
3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1614013887873177	0.0589430894308943	0.0
2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.1456624912505695	0.09552845528455282	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21524815296382357	0.08130081300813005	1.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.20964251082655527	0.0995934959349593	1.0
2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.36084721617928056	0.1890243902439025	1.0
1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.11254882237467773	0.06707317073170731	0.0
